Country,No of Indian Students
Armenia,900
Australia,66886
Austria,300
Azerbaijan,11
Bahrain,27000
Bangladesh,1000
Belarus,343
Belgium,600
Bosnia Herzegovina,2
Brazil,24
Brunei Darussalam,20
Bulgaria,50
Canada,50000
Chile,1
China,16694
Cuba,7
Curacao,200
Cyprus,1962
Czech Republic,350
Denmark,274
Egypt,110
Estonia,150
Finland,1000
France,5000
France (Reunion Is.),3
Georgia,1100
Germany,1715
Greece,8
Guyana,167
HongKong,365
Hungary,350
Iceland,10
Indonesia,18
Iran,1200
Ireland,2096
Israel,550
Italy,1163
Japan,879
Kazakhstan,2400
Korea (Republic of),1022
Kuwait,79
Kyrgyzstan,4686
Latvia,700
Lebanon,2
Libya,9
Lithuania,900
Malaysia,1493
Mauritius,500
Mexico,100
Moldova,160
Mongolia,1
Nepal,3000
New Zealand,32000
Niger,5
Norway,250
Philippines,6500
Poland,2500
Romania,200
Russian Federation,6500
Rwanda,20
Saudi Arabia,850
Serbia,1
Slovakia,18
Soth Africa,150
Sri Lanka,15
Sudan,41
Sweden,2340
Switzerland,445
Tanzania,1220
Turkey,36
Ukraine,7963
United Arab Emirates(Dubai),5500
UK(2015-16),16715
US(2015-16),165918
Uzbekistan,50
